Class,Solution treatment time (h),Solution treatment temperature (¡æ),Solution cooling way,Aging treatment time (h),Aging treatment temperature (¡æ),Aging cooling way,2nd aging treatment time (h),2nd aging treatment temperature (¡æ),2nd aging cooling way,C (mass%),Si (mass%),Mn (mass%),P (mass%),S (mass%),Ni (mass%),Cr (mass%),Mo (mass%),Cu (mass%),W (mass%),Co (mass%),Al (mass%),N (mass%),Nb+Ta (mass%),B (mass%),V (mass%),Ti (mass%),Fe (mass%),Zr (mass%),Re (mass%),Y (mass%),Hf (mass%),Test temperature (¡æ),Test stress (MPa),Creep rupture life (h)
1,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,550,608,125.2
2,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,550,588,267.5999999
3,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,550,530,1296.100001
4,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,550,490,7350.199992
5,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,550,471,13400.70001
6,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,550,431,46117.49995
7,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,550,412,65491.1
8,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,600,490,370.4999997
9,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,600,471,713.2000008
10,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,600,412,2878.200001
11,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,600,333,7962.600008
12,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,600,265,32086.10002
13,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,600,235,72802.69998
14,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,650,471,29.5
15,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,650,373,366.9999998
16,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,650,333,577.6000006
17,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,650,265,2816.500003
18,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,650,216,8032.300006
19,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,650,177,24248.70003
20,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,650,137,76930.80006
21,4,899,2,14,704,1,0,0,0,0.04,0.52,1.29,0.014,0.006,26.44,14.64,1.4,0.02,0,0,0.26,0.0076,0,0.01,0.28,2.11,52.9624,0,0,0,0,700,333,45.20000002
